id,code,path
1,:),/uploads/stickers/smile.gif
2,:(,/uploads/stickers/sad.gif
3,:4moks,/uploads/stickers/4moks.gif
4,:D,/uploads/stickers/D.gif
5,:E,/uploads/stickers/E.gif
6,:aaa,/uploads/stickers/aaa.gif
7,:agree,/uploads/stickers/agree.gif
8,:airkiss,/uploads/stickers/airkiss.gif
9,:atlet,/uploads/stickers/atlet.gif
10,:baby,/uploads/stickers/baby.gif
11,:bant,/uploads/stickers/bant.gif
12,:be,/uploads/stickers/be.gif
13,:blin,/uploads/stickers/blin.gif
14,:blum,/uploads/stickers/blum.gif
15,:bomba,/uploads/stickers/bomba.gif
16,:bounce,/uploads/stickers/bounce.gif
17,:bugaga,/uploads/stickers/bugaga.gif
18,:buhoj,/uploads/stickers/buhoj.gif
19,:bwink,/uploads/stickers/bwink.gif
20,:cold,/uploads/stickers/cold.gif
21,:cool,/uploads/stickers/cool.gif
22,:cry,/uploads/stickers/cry.gif
23,:ded,/uploads/stickers/ded.gif
24,:derisive,/uploads/stickers/derisive.gif
25,:drool,/uploads/stickers/drool.gif
26,:duma,/uploads/stickers/duma.gif
27,:exercise,/uploads/stickers/exercise.gif
28,:faq,/uploads/stickers/faq.gif
29,:fermer,/uploads/stickers/fermer.gif
30,:fingal,/uploads/stickers/fingal.gif
31,:flirt,/uploads/stickers/flirt.gif
32,:fuck,/uploads/stickers/fuck.gif
33,:girl_blum,/uploads/stickers/girl_blum.gif
34,:girl_bye,/uploads/stickers/girl_bye.gif
35,:girl_cry,/uploads/stickers/girl_cry.gif
36,:girl_hide,/uploads/stickers/girl_hide.gif
37,:girl_wink,/uploads/stickers/girl_wink.gif
38,:girls,/uploads/stickers/girls.gif
39,:happy,/uploads/stickers/happy.gif
40,:heart,/uploads/stickers/heart.gif
41,:hello,/uploads/stickers/hello.gif
42,:help,/uploads/stickers/help.gif
43,:help2,/uploads/stickers/help2.gif
44,:hi,/uploads/stickers/hi.gif
45,:infat,/uploads/stickers/infat.gif
46,:kiss,/uploads/stickers/kiss.gif
47,:kiss2,/uploads/stickers/kiss2.gif
48,:klass,/uploads/stickers/klass.gif
49,:krut,/uploads/stickers/krut.gif
50,:krutoy,/uploads/stickers/krutoy.gif
51,:ku,/uploads/stickers/ku.gif
52,:kuku,/uploads/stickers/kuku.gif
53,:kulak,/uploads/stickers/kulak.gif
54,:lamer,/uploads/stickers/lamer.gif
55,:love,/uploads/stickers/love.gif
56,:love2,/uploads/stickers/love2.gif
57,:mail,/uploads/stickers/mail.gif
58,:mister,/uploads/stickers/mister.gif
59,:money,/uploads/stickers/money.gif
60,:moped,/uploads/stickers/moped.gif
61,:musik,/uploads/stickers/musik.gif
62,:nea,/uploads/stickers/nea.gif
63,:net,/uploads/stickers/net.gif
64,:neznaju,/uploads/stickers/neznaju.gif
65,:ninja,/uploads/stickers/ninja.gif
66,:no,/uploads/stickers/no.gif
67,:nono,/uploads/stickers/nono.gif
68,:nozh,/uploads/stickers/nozh.gif
69,:nyam,/uploads/stickers/nyam.gif
70,:icecream,/uploads/stickers/nyam2.gif
71,:obana,/uploads/stickers/obana.gif
72,:ogogo,/uploads/stickers/ogogo.gif
73,:oops,/uploads/stickers/oops.gif
74,:opa,/uploads/stickers/opa.gif
75,:otstoy,/uploads/stickers/otstoy.gif
76,:oy,/uploads/stickers/oy.gif
77,:pirat,/uploads/stickers/pirat.gif
78,:pirat2,/uploads/stickers/pirat2.gif
79,:pistolet,/uploads/stickers/pistolet.gif
80,:pistolet2,/uploads/stickers/pistolet2.gif
81,:shok3,/uploads/stickers/pizdec.gif
82,:poisk,/uploads/stickers/poisk.gif
83,:proud,/uploads/stickers/proud.gif
84,:puls,/uploads/stickers/puls.gif
85,:queen,/uploads/stickers/queen.gif
86,:rap,/uploads/stickers/rap.gif
87,:read,/uploads/stickers/read.gif
88,:respekt,/uploads/stickers/respekt.gif
89,:rok,/uploads/stickers/rok.gif
90,:rok2,/uploads/stickers/rok2.gif
91,:senjor,/uploads/stickers/senjor.gif
92,:shok,/uploads/stickers/shok.gif
93,:shok2,/uploads/stickers/shok2.gif
94,:skull,/uploads/stickers/skull.gif
95,:smert,/uploads/stickers/smert.gif
96,:smoke,/uploads/stickers/smoke.gif
97,:spy,/uploads/stickers/spy.gif
98,:strela,/uploads/stickers/strela.gif
99,:svist,/uploads/stickers/svist.gif
100,:tiho,/uploads/stickers/tiho.gif
101,:vau,/uploads/stickers/vau.gif
102,:victory,/uploads/stickers/victory.gif
